rollout,samples,topk,cem_steps,mean_inference_latency_ms,std_inference_latency_ms,mean_rep_l1_error,std_rep_l1_error,mean_pose_error_m,std_pose_error_m
3,15,5,10,3977.1896142009646,1.9844616792683107,0.4548746613264084,0.025830471640172492,0.1041165918558836,0.030627494850411937
3,15,5,15,5894.338324149139,2.9351093520633578,0.4538874621391296,0.025572902954749042,0.1035669538602233,0.030812650348560244
3,15,5,20,7831.010481809266,4.385099322101759,0.454209107041359,0.023502526927104833,0.10989777230471373,0.03358302732901379
3,15,10,5,2063.4928362714127,4.344094679289104,0.45453719091415407,0.023486796995583422,0.061304073076695206,0.0269269305164391
3,15,10,10,3977.7594268079847,2.004873619718198,0.4559000935554504,0.027170816762972977,0.07158536194264889,0.027523623809226364
3,15,10,15,5894.425499004312,2.902527516291165,0.45269581127166747,0.022454937572929396,0.07558930938690901,0.025554802607123627
3,15,10,20,7831.281792381778,3.9727779589953864,0.45523188483715055,0.02663181141344753,0.08146434158086777,0.03023517747935347
3,20,5,5,2684.91569412034,2.5205957579940224,0.45396243381500245,0.024524606396905638,0.10222566276043653,0.028614232987699842
3,20,5,10,5232.331169508398,3.2762944878086087,0.4534530609846115,0.0236476096066652,0.10829303566366434,0.034198634438178825
3,20,5,15,7781.667668738402,4.26491317991599,0.4536950128078461,0.025108911776990303,0.10995530487969518,0.035673381859002984
3,20,5,20,10339.085497390479,4.900191868108436,0.4531084908246994,0.024475553262013568,0.10969665229693056,0.03524841193693009
3,20,10,5,2685.5995372785255,3.2605988077148016,0.45362397944927213,0.023016866270944427,0.07674855906330048,0.030646091377356556
3,20,10,10,5234.637123704888,4.225600657347541,0.453067928314209,0.022731106010881963,0.09078249853849411,0.026889554303515247
3,20,10,15,7793.867818720639,3.78359639869744,0.45642169094085694,0.02432518871272411,0.09578120977059007,0.028378187712532296
3,20,10,20,10335.073981286027,5.733242374319424,0.4541457223892212,0.022340154972676957,0.09860936640203,0.030905245737821278
